customer_id,customer_name,email_address,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Satisfaction Score,Card Type,Earned Point,Geography_France,Geography_Germany,Geography_Spain
CUST1000,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,452,0,43,10,21098.85,4,1,0,193429.68,0,4,3,289,False,True,True
CUST1001,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,785,1,61,4,21098.85,4,1,1,193429.68,0,3,3,224,True,True,True
CUST1002,Elihu Cardenas,elihu.ca@gmail.com,698,0,51,9,21098.85,4,0,0,193429.68,1,1,2,249,True,False,False
CUST1003,Sergio Martinez,sergio19959@gmail.com,620,1,27,6,21098.85,4,1,1,193429.68,0,1,2,413,False,True,False
CUST1004,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,456,1,79,9,21098.85,4,0,1,193429.68,0,4,2,669,False,False,True
CUST1005,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,421,0,53,8,21098.85,2,0,0,193429.68,0,3,1,441,True,False,False
CUST1006,Elihu Cardenas,elihu.ca@gmail.com,538,0,31,6,21098.85,2,0,0,193429.68,0,3,4,404,True,True,True
CUST1007,Sergio Martinez,sergio19959@gmail.com,370,0,48,8,21098.85,3,0,1,193429.68,0,5,1,791,False,True,True
CUST1008,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,452,0,65,7,21098.85,4,1,1,193429.68,0,3,1,781,False,False,False
CUST1009,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,471,0,32,1,21098.85,2,0,0,193429.68,1,3,3,937,False,False,True
CUST1010,Elihu Cardenas,elihu.ca@gmail.com,816,0,25,0,21098.85,3,0,1,193429.68,1,3,2,882,False,False,False
CUST1011,Sergio Martinez,sergio19959@gmail.com,564,0,31,6,21098.85,4,0,0,193429.68,0,2,4,153,False,True,False
CUST1012,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,680,0,40,6,21098.85,1,1,1,193429.68,1,5,3,543,True,False,True
CUST1013,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,808,1,77,7,21098.85,3,1,0,193429.68,1,1,1,712,False,False,True
CUST1014,Elihu Cardenas,elihu.ca@gmail.com,437,1,74,4,21098.85,2,1,0,193429.68,1,4,2,363,True,False,False
CUST1015,Sergio Martinez,sergio19959@gmail.com,722,0,79,2,21098.85,1,1,0,193429.68,1,1,3,152,True,True,True
CUST1016,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,449,1,57,7,21098.85,1,0,1,193429.68,0,5,2,671,True,False,True
CUST1017,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,709,1,38,5,21098.85,1,0,1,193429.68,1,4,3,719,False,False,True
CUST1018,Elihu Cardenas,elihu.ca@gmail.com,501,1,33,10,21098.85,3,1,0,193429.68,1,5,2,104,True,True,False
CUST1019,Sergio Martinez,sergio19959@gmail.com,480,1,62,2,21098.85,2,0,1,193429.68,0,3,1,202,True,False,False
CUST1020,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,499,0,35,0,21098.85,1,0,0,193429.68,0,4,4,295,False,False,True
CUST1021,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,658,1,64,2,21098.85,4,0,0,193429.68,1,3,1,873,True,True,False
CUST1022,Elihu Cardenas,elihu.ca@gmail.com,607,0,70,4,21098.85,1,1,1,193429.68,1,1,4,976,True,False,False
CUST1023,Sergio Martinez,sergio19959@gmail.com,693,1,41,2,21098.85,1,1,1,193429.68,1,1,2,983,False,True,False
CUST1024,Ricardo Muchacho,ricardojrmuchacho2@gmail.com,841,1,43,0,21098.85,3,0,0,193429.68,1,4,3,449,True,True,False
CUST1025,Antoine Maisonhaute,antoinemaisonhaute59@gmail.com,763,1,42,4,21098.85,3,1,1,193429.68,1,4,1,146,True,False,False
